"X671","X822"
671,822
585,911
292,455
646,227
573,613
286,306
643,153
821,76
910,38
955,19
477,9
238,4
369,502
184,251
592,125
296,62
148,31
324,515
162,257
581,128
540,564
520,782
760,391
880,195
440,97
220,48
110,24
555,12
527,506
263,253
631,126
315,63
657,31
828,15
664,507
832,253
916,126
708,563
354,281
427,640
713,320
606,660
553,830
276,415
388,707
194,353
97,176
548,88
774,44
387,22
193,11
96,5
548,2
274,1
137,0
68,0
34,0
17,0
258,500
629,250
814,125
657,562
578,781
539,890
269,445
634,222
317,111
658,55
329,27
664,13
582,506
541,753
770,376
885,188
442,94
221,47
360,523
180,261
340,630
170,315
335,657
167,328
333,664
416,832
458,916
729,458
364,229
182,114
591,57
295,28
647,14
323,7
661,3
580,501
790,250
395,125
447,562
723,281
861,140
430,70
215,35
607,17
553,508
776,254
388,127
444,563
722,281
611,640
305,320
402,660
451,830
475,915
487,957
743,478
871,239
685,619
842,309
921,154
960,77
480,38
740,19
370,9
185,4
92,2
46,1
523,0
761,0
630,500
565,750
282,375
641,187
320,93
660,46
830,23
665,511
582,755
291,377
395,688
447,844
723,422
861,211
680,605
340,302
670,151
585,575
292,287
146,143
573,71
536,535
768,267
384,133
692,66
846,33
923,16
711,508
355,254
177,127
338,563
419,781
709,390
604,695
302,347
651,173
825,86
412,43
706,21
603,510
551,755
275,377
637,188
818,94
659,547
579,773
289,386
144,193
322,596
661,298
330,149
665,74
582,537
291,268
645,134
572,567
286,283
393,641
696,320
348,160
424,580
712,290
606,645
303,322
151,161
575,80
287,40
393,520
696,260
848,130
424,65
212,32
606,16
803,8
901,4
950,2
475,1
737,0
368,0
184,0
342,500
671,250
835,125
917,62
708,531
854,265
927,132
713,566
606,783
303,391
151,195
575,97
787,48
893,24
696,512
848,256
674,628
337,314
668,157
334,78
167,39
583,19
791,9
895,4
947,2
473,1
736,0
868,0
684,500
342,250
171,125
335,562
167,281
333,640
166,320
83,160
541,80
270,40
135,20
67,10
533,5
266,2
383,501
441,750
470,875
485,937
492,968
746,484
873,242
936,121
468,60
234,30
367,515
433,757
466,878
233,439
116,219
558,109
279,54
389,527
694,263
597,631
298,315
149,157
574,78
287,39
143,19
571,9
785,4
642,502
321,251
410,625
205,312
102,156
551,78
775,39
387,19
693,9
846,4
923,2
711,501
355,250
677,125
838,62
919,31
959,15
979,7
489,3
244,1
122,0
311,500
655,250
827,125
413,62
206,31
353,515
676,257
338,128
419,564
459,782
479,891
739,445
369,222
184,111
592,55
296,27
648,13
574,506
537,753
768,376
384,188
192,94
96,47
548,23
524,511
262,255
631,127
315,63
157,31
578,15
539,507
519,753
259,376
129,188
64,94
32,47
266,523
133,261
566,130
283,65
391,532
445,766
722,383
861,191
680,595
840,297
670,648
835,324
917,162
958,81
479,40
239,20
619,10
309,5
154,2
77,1
538,0
269,0
134,0
317,500
658,250
829,125
414,62
207,31
353,515
176,257
88,128
44,64
522,32
511,516
255,258
127,129
563,64
281,32
390,516
195,258
597,129
798,64
899,32
449,16
724,8
612,504
806,252
903,126
701,563
600,781
300,390
150,195
325,597
162,298
331,649
415,824
457,912
728,456
864,228
682,614
341,307
420,653
210,326
105,163
552,81
776,40
388,20
444,510
222,255
361,627
180,313
340,656
170,328
335,664
667,332
583,666
791,333
645,666
822,333
411,166
705,83
602,541
301,270
